,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
3,http://www.armslist.com/posts/8322003,For Sale:  Ar15 spikes Viking ar pistol,"Nashville, Nashville, Tennessee",$ 700,"Listed On: Saturday, May 5, 2018",Rifles,Spikes Tactical                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,Awesome new spikes tactical viking ar pistol. 7.5in barrel. Comes with one mag. Flip up sights. Red dot not included price firm
4,http://www.armslist.com/posts/8322004,For Sale:  LNIB 13.5” Lantac Spada-S AR 15 Handrail,"Fort Worth, Dallas, Texas",$ 180,"Listed On: Saturday, May 5, 2018",Gun,no type,no type,no type,no type,"LNIB 13.5” Lantac Spada-S AR 15 Handrail For sale. Been on rifle for one month. Rifle never fired, nothing ever mounted to handrail. Comes with Handrail, barrel but, and rail accessories. Tx.tote3m@yahoo.com$180"
5,http://www.armslist.com/posts/8322005,For Sale:  Dickson 12g shotgun,"Chandler, Phoenix, Arizona",$ 200,"Listed On: Saturday, May 5, 2018",Shotguns,no type,12 Gauge                                                                                ,Pump Action                                                                                ,Shotgun,I have a Dickson 12g shotgun for sale it’s in really good condition with no issues everything runs great no jams or failure to feed I have about 100+ ammo that will come with it and also a few slugs mid toy want to know more shot me a text REDACTED jay
8,http://www.armslist.com/posts/8322008,"For Sale/Trade:  Bushmaster MAtch grade with Magpul Furniture, optics. 1K rounds 556 green tip, 1k rounds 7.62x51mm in sealed packs...","Hendersonville, Nashville, Tennessee",$ 0,"Listed On: Saturday, May 5, 2018",Rifles,Bushmaster                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"For sale or trade1. Bushmaster XM15E2S MAtch grade rifle. HAs Flat top A3 upper with 20 inch Match barrell. Magpul butstock, bipod, Nikon 4x16x40mm optic with Bullet Drop Compensator, flash hider. $1200 cash or trade or best offer2. 1K rounds 5.56 green tip brass cased ammo in can    $400 cash or trade or best offer3. 1K rounds 7.62x51mm NATO in sealed packs   $500 cash or tradeI am a Tennessee resident. I have a CCW as well. Preference gfiven to same. No low offers please. Photos are available on request"
9,http://www.armslist.com/posts/8322009,For Sale:  M92 ak47,"Radcliff, Louisville, Kentucky",$ 700,"Listed On: Saturday, May 5, 2018",Handguns,no type,no type,no type,no type,M92 ak47 for sale or trade  Must be legal to own firearm Ky resident show ID or ccw and do bill of sale  let me know what you got to trade call me or txt REDACTED
10,http://www.armslist.com/posts/8322010,For Sale:  CZ 455 American,"Ardmore, Huntsville, Alabama",$ 400,"Listed On: Saturday, May 5, 2018",Rifles,CZ USA                                                                                ,22 Long Rifle                                                                                ,Bolt Action                                                                                ,Rifle,i have a mint CZ 455 American with a BSA sweet 22 scope in CZ rings. I have three spare mags and the leather sling that is mounted on it. For an adjusted price I’ll sell with a Vortex rimfire scopw on it.
11,http://www.armslist.com/posts/8322011,For Sale:  PSA AR-15 9mm rifle takes Glock mags,"Lima, Lima, Ohio",$ 550,"Listed On: Saturday, May 5, 2018",Rifles,Palmetto State Armory                                                                                ,9mm Luger (9x19)                                                                                ,Semi-automatic                                                                                ,Rifle,Hi I have up for sale PSA 9mm AR rifle this particular model takes Glock mags flip up rear and front sites one point sling adapter 2 Glock style clear mag asking 550 or best offer if interested in contact me by text at REDACTED will consider trades please send pictures of what you have by text thank you
12,http://www.armslist.com/posts/8322012,For Sale:  Sig Mosquito 22lr,"Franklin, Nashville, Tennessee",$ 300,"Listed On: Saturday, May 5, 2018",Antique,no type,no type,no type,no type,Awesome little gun just looking for something else.
13,http://www.armslist.com/posts/8322013,For Sale/Trade:  1950  chevy truck,"Bluffton, Fort Wayne, Indiana","$ 2,200","Listed On: Saturday, May 5, 2018",Vehicles,no type,no type,no type,no type,"I have a 1950 Chevy Truck for a restoration project.  It is just the frame on a rolling chassis.  I want $2,200 and I am willing to trade for the right gun or guns.  I am a lever action collector."
16,http://www.armslist.com/posts/8322016,For Sale:  Beretta M9A3,"Minocqua, Wausau, Wisconsin",$ 850,"Listed On: Saturday, May 5, 2018",Handguns,Beretta USA                                                                                ,9mm Luger (9x19)                                                                                ,Double / Single Action                                                                                ,Pistol,"Like new. Can come with or without TLR1HL flashlight. Comes with all original accessories. $850without, $950 with flashlight. Must see to appreciate."
19,http://www.armslist.com/posts/8322019,Want To Buy:  M&p,"WALKERTOWN, Winston Salem, North Carolina",$ 500,"Listed On: Saturday, May 5, 2018",Handguns,Smith & Wesson                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,Iam looking for a 9mm m&p  of somthing good let me know what you have tks
20,http://www.armslist.com/posts/8322020,For Sale:  Beretta 682 LTD,"Renton, Seattle, Washington","$ 2,800","Listed On: Saturday, May 5, 2018",Shotguns,Beretta USA                                                                                ,12 Gauge                                                                                ,Over and Under                                                                                ,Shotgun,"For sale: Beretta 682 LTD 12 ga shotgun. 32 inch barrels. This particular 682 model is rare. Only 1500 were imported to the USA. This one is number 885 of 1500. Original owner. Like new condition. Comes with 7 Factory extended chokes, Beretta hard case, manual and soft gun socks. Has beautiful oiled stain wood.please email me for questions or more pictures. Price reflects condition. Serious inquiries only! Thanks for looking."
21,http://www.armslist.com/posts/8322021,For Sale:  tec 9,"Hillsboro, Portland, Oregon",$ 600,"Listed On: Saturday, May 5, 2018",Handguns,Intratec                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,Intratec 9 with case....4 mags.....muzzle brake.....fake suppressor/can thingy. took it in partial trade at a gun show years and years ago and to be honest have not yet fully understood why. fair condition I guess...only put a couple mags through it myself. kinda hard to find it seems email or text only to 503-784-seven4threethree
22,http://www.armslist.com/posts/8322022,For Sale:  ECLIPSE CUSTOM 10mm Engraved 1911 Magazine 8+1 Caliber 10 mm Sights Fixed 3-dot tritium low profile night sights thumb grip safety KIM/3000239.,"Manawa town, Wisconsin, United States",$ 850,"Listed On: Saturday, May 5, 2018",Handguns,Kimber                                                                                ,10mm                                                                                ,Double / Single Action                                                                                ,Pistol,"Caliber:10mm Weight:38 oz Action:SAO Safety:thumb grip safety Sights:Fixed low-profile 3-dot tritium night sights Magazines Included:1 Magazine Capacity:8+1 Grips:G-10 Slide Finish:Charcoal gray Frame Finish:Charcoal gray Pistol Caliber:10mm Barrel Length:5"" UPC669278302393 MPN3000239 .text me 5015231753 for more information. negotiable."
23,http://www.armslist.com/posts/8322023,For Sale:  Keltec PF9,"Franklin, Nashville, Tennessee",$ 300,"Listed On: Saturday, May 5, 2018",Antique,no type,no type,no type,no type,Comes with box and all paperwork. Great compact 9mm Just looking for something else.
