,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/6437000,For Sale:   Browning Buckmark pistol .22,"Versailles, Indiana, United States",$ 400,"Listed On: Monday, March 6, 2017",Handguns,Browning                                                                                ,22 Long Rifle                                                                                ,Double Action                                                                                ,Pistol,"I have a browning buckmark .22 pistol (semi auto) for sale. It has a bushnell trophy adjustable multi reticle red dot scope on it.Red dot has small & large red dot,crosshairs,as well as circle with center dot.  Well cared for, never shot much, very accurate!!!!!REDACTED leave message as I can be hard to reach $400 O.B.O"
1,http://www.armslist.com/posts/6437001,For Sale:  Spyderco Para Military 2,"63011, St. Louis, Missouri",$ 135,"Listed On: Thursday, March 2, 2017",Knives,Browning                                                                                ,22 Long Rifle                                                                                ,Double Action                                                                                ,Pistol,"Spyderco Para Military 2 Knife for sale or possible trade.  Like new, on opened one or two boxes with it.Overall length, per Spyderco's website is 8.21"" and blade length is 3.4"".  G10 handles and CPM S30V steel."
2,http://www.armslist.com/posts/6437002,Want To Buy:  WTB CZ P01 9mm,"West, Cincinnati, Ohio",Offer,"Listed On: Thursday, February 9, 2017",Handguns,CZ USA                                                                                ,9mm Luger (9x19)                                                                                ,Double / Single Action                                                                                ,Pistol,"I'm looking to buy a CZ P01 9mm pistol.  Aluminum frame, compact, light rail, decocker.  Cash in hand, prefer FTF in southwest Ohio.  Must have all factory accessories - box, papers, 2 mags (or more if available), etc.  Looking for factory black finish, no OD green or gray or whatever.Please contact through Armslist.  I would like to see pictures and any other info - round count, modifications, etc.  Thanks for looking!"
3,http://www.armslist.com/posts/6437003,For Sale:  Springfield 1911 - A1 .45,"Norfolk, Hampton Roads, Virginia",$ 750,"Listed On: Thursday, February 9, 2017",Handguns,Springfield                                                                                ,45 ACP                                                                                ,Single Action                                                                                ,Pistol,"Springfield Armory 1911 A1 Stainless SteelShot about 400 rounds through. It is in great condition and comes with original case with holster, magazine holster, cleaning rod, and two 7-round magazines. I'm also throwing in two more 7-round magazines and a concealed carry holster made by Galco. Please contact me with any questions!I can also throw in some Winchester Hollow Point ammunition."
4,http://www.armslist.com/posts/6437004,For Sale:  PSA AR-15 5.56/.223,"Grand Rapids, Grand Rapids, Michigan",FREE,"Listed On: Thursday, February 9, 2017",Rifles,Palmetto State Armory                                                                                ,45 ACP                                                                                ,Semi-automatic                                                                                ,Rifle,"Palmetto State armory AR-15. Original hand guard + OD green magpul hand guard. Tac light 150 Lumens. Magpul BUS + bushnell red dot sight, both zeroed at 25yards. Magpul and hogue pistol grip. Magpul MOE collapsible stock. 2 in one single / double point sling. 5 magpul Pmags (black and FDE) 4 metal magazines. Cabelas rifle case. Email offers"
5,http://www.armslist.com/posts/6437005,For Sale/Trade:  Wasr 10,"West Wichita, Wichita, Kansas",$ 800,"Listed On: Tuesday, February 14, 2017",Rifles,Palmetto State Armory                                                                                ,7.62x39                                                                                ,Semi-automatic                                                                                ,Rifle,"Earlier wasr, no threads on the barrel. Its in great shape With black poly stock, magpul grip. Utg quadrail and magpul angled grip. 4 rail covers, only thing its missing the cleaning rod  (cheap at the gun shows) looking to sell for 800 without the optic, 900 with.  comes with 1 magpul mag. Possibly trade for quality ar, or trade for a sam 7 with cash on my end. May entertain other trades but cash is king."
6,http://www.armslist.com/posts/6437006,For Sale:  S&W Semiauto 12g,"Asher/Moore, Oklahoma City, Oklahoma",$ 300,"Listed On: Thursday, February 9, 2017",Shotguns,Smith & Wesson                                                                                ,12 Gauge                                                                                ,Semi-automatic                                                                                ,Shotgun,S&W model 1000 12g semiauto.  Works as it should and good condition. $300 firm580-two three five-69 four eight
11,http://www.armslist.com/posts/6437011,For Sale/Trade:  NIB Ruger LCR .38spl,"San Marcos, Austin, Texas",$ 350,"Listed On: Thursday, February 9, 2017",Handguns,Ruger                                                                                ,38 S&W Special                                                                                ,Double Action                                                                                ,Revolver,New in box with all the goods. Bought it from cabelas for a backup gun but never used it. Gun looks perfect. $350 FIRM. trades considered. Text is fastest. REDACTED
13,http://www.armslist.com/posts/6437013,"For Sale:  Remington 770, 7mm Rem mag","Asher/Moore, Oklahoma City, Oklahoma",$ 220,"Listed On: Thursday, February 9, 2017",Rifles,Remington                                                                                ,7mm Remington Magnum                                                                                ,no type,Rifle,"Remington 770 in 7mm Rem mag, stainless and functions as it should.  Needs mag release latch replaced which is 6.95 on-line.  $220580-two three five-69 four eight"
17,http://www.armslist.com/posts/6437017,For Sale:  US Arms Abilene .44 MAG,"NE, El Paso, Texas",$ 500,"Listed On: Friday, March 24, 2017",Handguns,no type,44 Magnum                                                                                ,Single Action                                                                                ,Revolver,"Up for sale is an Abilene .44 MAG, 10 inch barrel, single action revolver. I'm asking $500/obo. If interested please call or text REDACTED."
